sex,geo,TIME_PERIOD,OBS_VALUE
M,AL,2009,
M,AL,2010,
M,AL,2011,
M,AL,2012,
M,AL,2013,
M,AL,2014,
M,AL,2015,
M,AL,2016,
M,AL,2017,
M,AL,2018,
M,AL,2019,
M,AL,2020,
M,AT,2009,77.6
M,AT,2010,77.8
M,AT,2011,78.3
M,AT,2012,78.4
M,AT,2013,78.6
M,AT,2014,79.1
M,AT,2015,78.8
M,AT,2016,79.3
M,AT,2017,79.4
M,AT,2018,79.4
M,AT,2019,79.7
M,AT,2020,78.9
M,BE,2009,77.4
M,BE,2010,77.5
M,BE,2011,78.0
M,BE,2012,77.8
M,BE,2013,78.1
M,BE,2014,78.8
M,BE,2015,78.7
M,BE,2016,79.0
M,BE,2017,79.2
M,BE,2018,79.4
M,BE,2019,79.8
M,BE,2020,78.6
M,BG,2009,70.2
M,BG,2010,70.3
M,BG,2011,70.7
M,BG,2012,70.9
M,BG,2013,71.3
M,BG,2014,71.1
M,BG,2015,71.2
M,BG,2016,71.3
M,BG,2017,71.4
M,BG,2018,71.5
M,BG,2019,71.6
M,BG,2020,70.0
M,CH,2009,79.9
M,CH,2010,80.3
M,CH,2011,80.5
M,CH,2012,80.6
M,CH,2013,80.7
M,CH,2014,81.1
M,CH,2015,80.8
M,CH,2016,81.7
M,CH,2017,81.6
M,CH,2018,81.9
M,CH,2019,82.1
M,CH,2020,81.0
M,CY,2009,78.5
M,CY,2010,79.2
M,CY,2011,79.3
M,CY,2012,78.9
M,CY,2013,80.1
M,CY,2014,80.3
M,CY,2015,79.9
M,CY,2016,80.5
M,CY,2017,80.2
M,CY,2018,80.9
M,CY,2019,80.3
M,CY,2020,80.4
M,CZ,2009,74.3
M,CZ,2010,74.5
M,CZ,2011,74.8
M,CZ,2012,75.1
M,CZ,2013,75.2
M,CZ,2014,75.8
M,CZ,2015,75.7
M,CZ,2016,76.1
M,CZ,2017,76.1
M,CZ,2018,76.2
M,CZ,2019,76.4
M,CZ,2020,75.3
M,DE,2009,77.8
M,DE,2010,78.0
M,DE,2011,77.9
M,DE,2012,78.1
M,DE,2013,78.1
M,DE,2014,78.7
M,DE,2015,78.3
M,DE,2016,78.6
M,DE,2017,78.7
M,DE,2018,78.6
M,DE,2019,79.0
M,DE,2020,78.7
M,DK,2009,76.9
M,DK,2010,77.2
M,DK,2011,77.8
M,DK,2012,78.1
M,DK,2013,78.3
M,DK,2014,78.7
M,DK,2015,78.8
M,DK,2016,79.0
M,DK,2017,79.2
M,DK,2018,79.1
M,DK,2019,79.5
M,DK,2020,79.7
M,EE,2009,70.0
M,EE,2010,70.9
M,EE,2011,71.4
M,EE,2012,71.4
M,EE,2013,72.8
M,EE,2014,72.4
M,EE,2015,73.2
M,EE,2016,73.3
M,EE,2017,73.8
M,EE,2018,74.0
M,EE,2019,74.5
M,EE,2020,74.4
M,EL,2009,77.5
M,EL,2010,78.0
M,EL,2011,78.0
M,EL,2012,78.0
M,EL,2013,78.7
M,EL,2014,78.8
M,EL,2015,78.5
M,EL,2016,78.9
M,EL,2017,78.8
M,EL,2018,79.3
M,EL,2019,79.2
M,EL,2020,78.8
M,ES,2009,78.8
M,ES,2010,79.2
M,ES,2011,79.5
M,ES,2012,79.5
M,ES,2013,80.2
M,ES,2014,80.4
M,ES,2015,80.1
M,ES,2016,80.5
M,ES,2017,80.6
M,ES,2018,80.7
M,ES,2019,81.1
M,ES,2020,79.6
M,FI,2009,76.6
M,FI,2010,76.9
M,FI,2011,77.3
M,FI,2012,77.7
M,FI,2013,
M,FI,2014,78.4
M,FI,2015,78.7
M,FI,2016,78.6
M,FI,2017,78.9
M,FI,2018,79.1
M,FI,2019,79.3
M,FI,2020,79.2
M,FR,2009,78.0
M,FR,2010,78.2
M,FR,2011,78.7
M,FR,2012,78.7
M,FR,2013,79.0
M,FR,2014,79.5
M,FR,2015,79.2
M,FR,2016,79.5
M,FR,2017,79.6
M,FR,2018,79.7
M,FR,2019,79.9
M,FR,2020,79.2
M,HR,2009,72.8
M,HR,2010,73.4
M,HR,2011,73.8
M,HR,2012,73.9
M,HR,2013,74.5
M,HR,2014,74.7
M,HR,2015,74.4
M,HR,2016,75.0
M,HR,2017,74.9
M,HR,2018,74.9
M,HR,2019,75.5
M,HR,2020,74.7
M,HU,2009,70.3
M,HU,2010,70.7
M,HU,2011,71.2
M,HU,2012,71.6
M,HU,2013,72.2
M,HU,2014,72.3
M,HU,2015,72.3
M,HU,2016,72.6
M,HU,2017,72.5
M,HU,2018,72.7
M,HU,2019,73.1
M,HU,2020,72.3
M,IE,2009,77.8
M,IE,2010,78.5
M,IE,2011,78.6
M,IE,2012,78.7
M,IE,2013,78.9
M,IE,2014,79.3
M,IE,2015,79.6
M,IE,2016,79.9
M,IE,2017,80.4
M,IE,2018,80.4
M,IE,2019,80.8
M,IE,2020,80.8
M,IS,2009,79.8
M,IS,2010,79.8
M,IS,2011,80.7
M,IS,2012,81.6
M,IS,2013,80.5
M,IS,2014,81.3
M,IS,2015,81.2
M,IS,2016,80.4
M,IS,2017,81.1
M,IS,2018,81.3
M,IS,2019,81.7
M,IS,2020,81.6
M,IT,2009,79.1
M,IT,2010,
M,IT,2011,79.7
M,IT,2012,79.8
M,IT,2013,80.3
M,IT,2014,80.7
M,IT,2015,80.3
M,IT,2016,81.0
M,IT,2017,80.8
M,IT,2018,81.2
M,IT,2019,81.4
M,IT,2020,80.0
M,LI,2009,
M,LI,2010,
M,LI,2011,
M,LI,2012,
M,LI,2013,
M,LI,2014,
M,LI,2015,
M,LI,2016,
M,LI,2017,
M,LI,2018,
M,LI,2019,
M,LI,2020,
M,LT,2009,67.1
M,LT,2010,67.6
M,LT,2011,68.1
M,LT,2012,68.4
M,LT,2013,68.5
M,LT,2014,69.2
M,LT,2015,69.2
M,LT,2016,69.5
M,LT,2017,70.7
M,LT,2018,70.9
M,LT,2019,71.6
M,LT,2020,70.1
M,LU,2009,78.1
M,LU,2010,77.9
M,LU,2011,78.5
M,LU,2012,79.1
M,LU,2013,79.8
M,LU,2014,79.4
M,LU,2015,80.0
M,LU,2016,80.1
M,LU,2017,79.9
M,LU,2018,80.1
M,LU,2019,80.2
M,LU,2020,79.9
M,LV,2009,67.5
M,LV,2010,67.9
M,LV,2011,68.6
M,LV,2012,68.9
M,LV,2013,69.3
M,LV,2014,69.1
M,LV,2015,69.7
M,LV,2016,69.8
M,LV,2017,69.8
M,LV,2018,70.1
M,LV,2019,70.9
M,LV,2020,70.6
M,ME,2009,
M,ME,2010,
M,ME,2011,
M,ME,2012,
M,ME,2013,
M,ME,2014,
M,ME,2015,
M,ME,2016,
M,ME,2017,
M,ME,2018,
M,ME,2019,
M,ME,2020,
M,MK,2009,
M,MK,2010,
M,MK,2011,
M,MK,2012,
M,MK,2013,
M,MK,2014,
M,MK,2015,
M,MK,2016,
M,MK,2017,
M,MK,2018,
M,MK,2019,
M,MK,2020,
M,MT,2009,77.9
M,MT,2010,79.3
M,MT,2011,78.6
M,MT,2012,78.6
M,MT,2013,79.6
M,MT,2014,79.9
M,MT,2015,79.8
M,MT,2016,80.6
M,MT,2017,80.2
M,MT,2018,80.4
M,MT,2019,81.2
M,MT,2020,80.3
M,NL,2009,78.7
M,NL,2010,78.9
M,NL,2011,79.4
M,NL,2012,79.3
M,NL,2013,79.5
M,NL,2014,80.0
M,NL,2015,79.9
M,NL,2016,80.0
M,NL,2017,80.2
M,NL,2018,80.3
M,NL,2019,80.6
M,NL,2020,79.7
M,NO,2009,78.7
M,NO,2010,79.0
M,NO,2011,79.1
M,NO,2012,79.5
M,NO,2013,79.8
M,NO,2014,80.1
M,NO,2015,80.5
M,NO,2016,80.7
M,NO,2017,81.0
M,NO,2018,81.1
M,NO,2019,81.3
M,NO,2020,81.6
M,PL,2009,71.5
M,PL,2010,72.2
M,PL,2011,72.5
M,PL,2012,72.6
M,PL,2013,73.0
M,PL,2014,73.7
M,PL,2015,73.5
M,PL,2016,73.9
M,PL,2017,73.9
M,PL,2018,73.7
M,PL,2019,74.1
M,PL,2020,72.5
M,PT,2009,76.5
M,PT,2010,76.8
M,PT,2011,77.3
M,PT,2012,77.3
M,PT,2013,77.6
M,PT,2014,78.0
M,PT,2015,78.1
M,PT,2016,78.1
M,PT,2017,78.4
M,PT,2018,78.3
M,PT,2019,78.7
M,PT,2020,78.0
M,RO,2009,69.8
M,RO,2010,70.0
M,RO,2011,70.8
M,RO,2012,70.9
M,RO,2013,71.6
M,RO,2014,71.3
M,RO,2015,71.4
M,RO,2016,71.7
M,RO,2017,71.6
M,RO,2018,71.7
M,RO,2019,71.9
M,RO,2020,70.4
M,RS,2009,
M,RS,2010,
M,RS,2011,
M,RS,2012,
M,RS,2013,
M,RS,2014,
M,RS,2015,
M,RS,2016,
M,RS,2017,
M,RS,2018,
M,RS,2019,
M,RS,2020,
M,SE,2009,79.4
M,SE,2010,79.6
M,SE,2011,79.9
M,SE,2012,
M,SE,2013,80.2
M,SE,2014,80.4
M,SE,2015,80.4
M,SE,2016,80.6
M,SE,2017,80.8
M,SE,2018,80.9
M,SE,2019,81.5
M,SE,2020,80.6
M,SI,2009,75.9
